id,genre,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
7HI3pEr5Eo0a0P9GYVnSdU,afrobeat,0.00631,0.672,206693,0.824,0.809,2,0.0922,-6.783,1,0.0454,110.673,4,0.537
3XPOwqZH6WsBLn3uURmXQ4,afrobeat,0.0796,0.516,316867,0.547,0.000192,11,0.0808,-7.851,0,0.0834,96.864,4,0.909
1ETZhP9orTkDclKEyt0xqm,afrobeat,0.00182,0.7,386160,0.756,0.711,2,0.0575,-10.714,1,0.0575,114.28,4,0.947
4reshwy3fwtKYvtJ0ddqEa,afrobeat,0.239,0.541,252000,0.871,0.901,0,0.0494,-6.157,1,0.0966,190.519,4,0.962
6cLtKtakegCY6n7iepcLYJ,afrobeat,0.158,0.804,499733,0.92,0.0797,0,0.0743,-7.478,1,0.0563,108.979,4,0.811
1QoscuA1IQbIKSAxCVVMl4,afrobeat,0.091,0.627,313960,0.949,0,9,0.0636,-5.03,1,0.0414,142.015,4,0.87
6bfiHRWaaJjVrOFzMiaKQ6,afrobeat,0.498,0.665,225987,0.91,0.937,2,0.1,-7.779,1,0.0519,108.064,4,0.794
0RL8ayktTIZxZVU76aPg3e,afrobeat,0.0439,0.495,232107,0.663,0.328,7,0.0941,-6.833,1,0.071,192.182,4,0.799
3fehP579IKd3ehKAU6Mczt,afrobeat,0.586,0.756,184366,0.645,0.0514,4,0.237,-9.042,0,0.139,100.892,3,0.958
7dw7zA16CNZzxfInPlss6c,afrobeat,0.55,0.717,243147,0.879,0.812,9,0.0932,-5.787,0,0.0463,101.995,4,0.877
6WaNYNZz3DedFuaTDVHuBX,afrobeat,0.0536,0.682,424720,0.716,0.000158,0,0.161,-9.25,1,0.0705,104.879,4,0.773
71CmEZH0hV1HWBo7BHPMBH,afrobeat,0.611,0.69,450867,0.835,0.0881,5,0.24,-5.941,0,0.0828,110.746,4,0.845
76dmvTSdGGiwYqJRVTlexv,afrobeat,0.446,0.719,170493,0.735,0.933,9,0.121,-12.658,0,0.0506,123.322,4,0.358
2NZHINDkLmaAnfhmQWuqnc,afrobeat,0.0315,0.498,422373,0.657,0.802,0,0.079,-7.232,1,0.0627,108.916,4,0.773
0amPaiOVR3zjYIP5vXAjsH,afrobeat,0.00866,0.628,258333,0.93,0.803,7,0.103,-6.005,0,0.0879,108.168,4,0.692
2g9g02DJIYSjHSMZiCl7hQ,afrobeat,0.0886,0.573,380267,0.783,0.157,0,0.132,-7.828,1,0.0358,132.099,4,0.934
2NiPEl85JSH8xxwQsXTnUT,afrobeat,0.426,0.649,274040,0.53,0,1,0.181,-6.558,1,0.0287,115.379,4,0.409
1o6teh4QuZAxe90lklwC87,afrobeat,0.268,0.605,459093,0.961,0.585,0,0.0508,-6.862,1,0.0518,117.646,4,0.877
3Nsl1BQUNEpWrKBPOgDcUp,afrobeat,0.0309,0.611,536320,0.714,0.596,10,0.306,-10.342,0,0.0506,129.189,4,0.828
1AYH92uXd6z7KGzwQdDvoW,afrobeat,0.0549,0.717,402667,0.715,0.00633,1,0.107,-7.692,0,0.0307,139.169,4,0.926
0JzF0ULQTE27NXjbfqeA2a,afrobeat,0.00152,0.777,210667,0.588,0.907,11,0.0458,-9.977,0,0.152,140.898,4,0.893
4rQNHz0qIqU95EctOoaviy,afrobeat,0.415,0.646,312480,0.601,0.000416,7,0.0917,-10.186,1,0.0479,107.861,4,0.917
3JqvNz8KQmouTEgi0WcpkJ,afrobeat,0.0306,0.496,285733,0.837,0.0629,4,0.0816,-5.14,1,0.0312,106.176,4,0.491
1XJmKJPustDFbz9XUlGPuq,afrobeat,0.0818,0.541,255360,0.83,0.683,2,0.338,-8.801,0,0.0444,128.868,4,0.776
3nveCkQZqGC2Q0ltx3Vekr,afrobeat,0.0338,0.766,200440,0.754,0.179,1,0.213,-10.713,1,0.088,133.507,4,0.834
6lxsPuAsGNz7Ys3ahPWaY9,afrobeat,0.659,0.627,298587,0.547,0,0,0.214,-5.325,1,0.0404,124.859,4,0.755
2JGhXxDJdLB648rOKCvQMi,afrobeat,0.0185,0.613,299893,0.754,1.15e-06,1,0.0516,-8.973,1,0.127,98.594,4,0.92
3p7FSrg0zGlIG2OeTQzv5u,afrobeat,0.086,0.696,374933,0.873,0.217,9,0.437,-5.371,1,0.169,116.566,4,0.837
0lKvlc8fsccGK3yQXlogl0,afrobeat,0.0285,0.756,319160,0.915,1.37e-05,10,0.127,-7.097,0,0.0744,104.876,4,0.944
70hW0SjW8l1XNLqXK912TH,afrobeat,0.0132,0.704,344467,0.634,0.899,0,0.119,-5.699,0,0.0411,117.609,4,0.889
4b7cfk8u1cITe1J5zfF74O,afrobeat,0.0631,0.743,272533,0.854,0.476,4,0.436,-8.314,0,0.0788,125.018,4,0.787
4ERRb7y5vQWJpoqAK6gg5k,afrobeat,0.599,0.58,437867,0.766,0.000144,8,0.0651,-11.854,1,0.0837,98.491,4,0.88
3wF3KESCwsQdi0oEwLU3gQ,afrobeat,0.00893,0.678,480657,0.766,0.00869,5,0.219,-7.616,0,0.0315,96.146,4,0.97
4Aywi2UyeOsi2CsZwMXOHG,afrobeat,0.0694,0.548,349933,0.71,0.251,0,0.107,-11.667,1,0.0533,124.871,4,0.817
2zfJ6XJLzDQ4FVoFAP5oH0,afrobeat,0.128,0.751,532480,0.795,0.0571,0,0.102,-5.61,0,0.0547,92.989,4,0.968
2cSC2pA05BPYJNMgU95okZ,afrobeat,0.212,0.76,453493,0.838,0.188,5,0.21,-7.338,0,0.0443,100.026,4,0.973
7Jl2CFA4DA6D8Nic1WVHW4,afrobeat,0.00471,0.777,414000,0.83,0.0835,1,0.106,-11.772,1,0.0707,122.357,4,0.807
440JrlZSISSoAKV1hXWQ9Q,afrobeat,0.102,0.607,428040,0.814,0.00121,8,0.0373,-16.476,1,0.0443,116.687,4,0.825
3n8H4jQrZpye0IfgejcJIo,afrobeat,0.634,0.674,347347,0.787,0.171,4,0.118,-5.87,1,0.0468,87.416,3,0.893
3LBgbkq0Hn8nlUj8X0aspr,afrobeat,0.294,0.752,185733,0.703,0.000457,10,0.0769,-11.538,0,0.0417,109.146,4,0.874
